domainID,siteID,plotID,trapID,nlcdClass,decimalLatitude,decimalLongitude,elevation,MDS1,MDS2
D01,HARV,HARV_014,N,mixedForest,42.471634,-72.265709,193.5,-2.160190498,-0.432746674
D01,HARV,HARV_014,S,mixedForest,42.471274,-72.265725,193.5,-2.273226276,-0.452038117
D01,HARV,HARV_014,E,mixedForest,42.471448,-72.265474,193.5,-2.209791717,-0.381731583
D01,HARV,HARV_014,W,mixedForest,42.47146,-72.26596,193.5,-2.194088772,-0.439587723
D01,HARV,HARV_013,E,evergreenForest,42.392297,-72.254337,180.3,-2.292557623,-0.639583127
D01,HARV,HARV_013,N,evergreenForest,42.392483,-72.254572,180.3,-2.498639233,-0.470995637
D01,HARV,HARV_013,W,evergreenForest,42.392309,-72.254822,180.3,-2.417397313,-0.680600313
D01,HARV,HARV_013,S,evergreenForest,42.392123,-72.254587,180.3,-2.515808147,-0.361346577
D01,HARV,HARV_010,S,mixedForest,42.424543,-72.254631,187.8,-2.294560752,-0.402569024
D01,HARV,HARV_010,E,mixedForest,42.424717,-72.25438,187.8,-2.053880441,-0.354161275
D01,HARV,HARV_010,N,mixedForest,42.424902,-72.254615,187.8,-2.076962152,-0.416104186
D01,HARV,HARV_006,E,deciduousForest,42.403084,-72.253502,177.9,-1.922361691,-0.514283939
D01,HARV,HARV_006,W,deciduousForest,42.403095,-72.253987,177.9,-1.894363208,-0.56263061
D01,HARV,HARV_005,E,deciduousForest,42.489503,-72.274907,177.2,-2.1697025,-0.464418224
D01,HARV,HARV_005,W,deciduousForest,42.489514,-72.275393,177.2,-2.196027475,-0.589766911
D01,HARV,HARV_005,N,deciduousForest,42.489689,-72.275143,177.2,-2.146524172,-0.589154289
D01,HARV,HARV_005,S,deciduousForest,42.489329,-72.275158,177.2,-2.304804419,-0.485966325
D01,HARV,HARV_002,W,deciduousForest,42.478607,-72.259809,192.8,-2.314137463,-0.050965221
D01,HARV,HARV_002,E,deciduousForest,42.478595,-72.259323,192.8,-2.096346194,-0.465079215
D01,HARV,HARV_002,S,deciduousForest,42.478421,-72.259574,192.8,-2.110622918,-0.302403014
D01,HARV,HARV_002,N,deciduousForest,42.478781,-72.259558,192.8,-2.125211522,-0.372711034
D01,HARV,HARV_004,E,mixedForest,42.427089,-72.22948,230.1,-2.423037817,-0.472836254
D01,HARV,HARV_004,N,mixedForest,42.427275,-72.229715,230.1,-2.229197125,-0.40432979
D01,HARV,HARV_004,S,mixedForest,42.426915,-72.229731,230.1,-2.318172184,-0.520576457
D01,HARV,HARV_004,W,mixedForest,42.427101,-72.229966,230.1,-2.303657031,-0.623665062
D01,HARV,HARV_001,N,deciduousForest,42.42445,-72.258281,191.5,-2.521717915,-0.302200103
D01,HARV,HARV_021,N,evergreenForest,42.452629,-72.250485,213.7,-1.887610779,-0.271973319
D01,HARV,HARV_010,W,mixedForest,42.424728,-72.254866,187.8,-2.216654907,-0.201496449
D01,HARV,HARV_001,S,deciduousForest,42.42409,-72.258297,191.5,-2.263599042,-0.400087098
D01,HARV,HARV_006,N,deciduousForest,42.403269,-72.253737,177.9,-2.14160425,-0.150689581
D01,HARV,HARV_006,S,deciduousForest,42.402909,-72.253752,177.9,-2.041716993,-0.00630304
D01,HARV,HARV_022,S,evergreenForest,42.433997,-72.198785,188.8,-1.93560782,-0.238081975
D01,HARV,HARV_021,W,evergreenForest,42.452455,-72.250736,213.7,-2.205716615,-0.491652593
D01,HARV,HARV_021,E,evergreenForest,42.452443,-72.25025,213.7,-1.818512655,-0.130335672
D03,DSNY,DSNY_021,E,pastureHay,28.052641,-81.393172,18.1,0.585542929,2.06182349
D03,DSNY,DSNY_009,W,pastureHay,28.073116,-81.428765,17.3,0.927805846,1.274275086
D03,DSNY,DSNY_003,N,woodyWetlands,28.07439,-81.425534,17.2,0.476114777,1.395109433
D03,DSNY,DSNY_021,S,pastureHay,28.052459,-81.393375,18.1,1.129732559,1.067003196
D03,DSNY,DSNY_006,N,woodyWetlands,28.093145,-81.399335,19,1.097724163,1.343212214
D03,DSNY,DSNY_004,S,woodyWetlands,28.099553,-81.39997,17.2,0.516523421,1.851239874
D03,DSNY,DSNY_001,N,woodyWetlands,28.096879,-81.418578,19,0.850819479,1.159406128
D03,DSNY,DSNY_004,W,woodyWetlands,28.099733,-81.400174,17.2,0.488391698,1.816919276
D03,DSNY,DSNY_005,S,woodyWetlands,28.039461,-81.393317,17.8,0.609613349,1.54153846
D03,DSNY,DSNY_004,E,woodyWetlands,28.099734,-81.399767,17.2,1.148674908,1.453408102
D03,DSNY,DSNY_003,W,woodyWetlands,28.074208,-81.425737,17.2,1.013309759,0.997844637
D03,JERC,JERC_001,E,deciduousForest,31.194314,-84.476867,37.9,0.632681145,1.93391688
D03,JERC,JERC_030,N,mixedForest,31.185279,-84.476058,36.3,0.374516628,2.118670179
D03,JERC,JERC_007,S,evergreenForest,31.198451,-84.476317,36.8,154.7578398,193.4293523
D03,JERC,JERC_007,W,evergreenForest,31.198636,-84.476522,36.8,0.726359275,2.117410979
D03,JERC,JERC_003,E,deciduousForest,31.196141,-84.473031,34.1,303.2371716,14.7082491
D03,JERC,JERC_008,N,mixedForest,31.195335,-84.450926,46.1,1.250107942,1.788747532
D03,JERC,JERC_030,E,mixedForest,31.185094,-84.475853,36.3,167.7616644,-32.75834916
D03,JERC,JERC_008,E,mixedForest,31.195151,-84.450721,46.1,-265.3425486,33.28493445
D03,OSBS,OSBS_022,N,emergentHerbaceousWetlands,29.68966,-81.960695,24,0.814001209,0.935078814
